,Human,Gorilla,Tantalus_Monkey,Colobus_Monkey,Baboon,Sooty_Mangabey,Mona_Monkey,Red-tailed_Guenon,DeBrazzas_Monkey,Sykes_Monkey,LHoests_Monkey,Red-capped_Mangabey,Chimp_pts,Grivet,Vervet,Talapoin_Monkey,Sun-tailed_Monkey,Mandrill,Chimp_ptt,Western_red_colobus,Greater_Spot-nosed_Monkey,Mustached_Monkey,Sabaeus_Monkey,Red-eared_Guenon
Human,,1.91357483775,0.936229033517,1.48540294734,1.8053125813,1.18551241795,6.37520252374,0.891958573408,0.898274207622,0.847830233542,0.847830233542,7.29974079443,9.12067559704,1.22426487194,0.986998752213,0.797570993613,0.967938183885,2.70232235348,1.66445980661,10.3216481756,1.263125573,1.65778736638,1.36728677914,2.56666346857
Gorilla,265999973.54,,1.50518604195,2.29210403055,1.67781414481,1.21133538218,4.71048545914,1.35422405899,1.38036171315,1.36728677914,1.15973736274,4.31425260552,6.42979722312,1.3086004759,1.49858858114,1.65778736638,1.22426487194,3.45272068197,1.62447236477,5.3626129818,1.32813519187,1.91357483775,1.35422405899,3.31751725497
Tantalus_Monkey,1.0379560293,2.48869669747,,2.09815082374,1.15973736274,0.986998752213,2.63790592158,1.10833044705,1.81205488122,1.29559250687,0.90459274424,3.1983536447,4.68593463704,1433.14808675,1303.39335003,1.14043743147,1.07629769842,4.20287857404,1.57133144808,4.86687324919,1.21779862468,1.10191796671,69.9322230327,2.53826360462
Colobus_Monkey,0.961590512845,6.68698137399,1.15973736274,,2.17403534896,1.06990003434,2.86098615372,1.53821987254,1.36728677914,1.75820593196,1.05072477643,15.165520309,1.87287992084,1.28259665801,1.25664125309,1.02519906962,1.19841790309,2.73104307793,2.52408440247,6.37520252374,1.14686775937,1.76492588526,1.46564768358,3.82704278288
Baboon,3.036045225,6.17655674988,3.80385733255,17.2943821956,,3.30256970868,10.597011579,3.2727193804,3.32499663344,4.44252749763,2.89728603406,17.4883904826,5.43961070187,3.33996661506,2.94096414279,3.0727780484,2.86098615372,8.14600416961,3.77299830808,8.92982606458,3.06542420088,3.62726929236,4.75148923306,6.06029612629
Sooty_Mangabey,265999973.54,1.83905611842,1.05711357539,1.43935052291,1.39999705263,,1.51178660162,1.09550845373,1.06990003434,1.10833044705,0.917238532699,2.43929813981,1.70456071481,1.16617664236,1.263125573,1.25015995054,1.0379560293,2.25727748655,1.05711357539,7.118305585,1.05072477643,1.39999705263,1.06990003434,2.27119802411
Mona_Monkey,0.542854373178,2.10503287356,0.753744901923,1.90678427529,0.759997185829,0.654095568228,,88.606879843,119619.559228,2892.88015205,0.420313282361,2.6450493134,94.6765404514,0.654095568228,0.438623860994,480.602422707,0.493704800324,1.41965996984,3.3774571776,3.52836306122,2.69515095868,2037.17709138,0.616913995541,11.5939957922
Red-tailed_Guenon,1.78510486761,5.86541507745,2.0569277243,4.14749195059,2.47456568289,1.92716567273,5.3114864409,,2.50991899332,3.48293200872,1.65778736638,6.70550501183,4.25846509763,1.85934074971,1.79183757677,11.4725136347,1.52499702626,4.19495398566,3.33247975253,6.23049512514,2.70232235348,4.22667682925,1.98848510513,11.3758829032
DeBrazzas_Monkey,1.27610327335,5.39678845267,2.09127207309,2.83201051281,2.32701473727,1.39999705263,5.65545283887,2.23642183175,,1.97483579406,1.39999705263,3.52836306122,2.90455674709,1.77164902412,1.66445980661,2.46750532288,1.50518604195,4.68593463704,3.17611606984,9.44335554968,1.92036863613,1.81205488122,1.84581444852,3.46781875646
Sykes_Monkey,1.32813519187,4.75148923306,1.76492588526,3.39247970518,2.13949269321,1.25015995054,3.08749668666,2.70232235348,1.77837535081,,1.44592019197,3.11697781215,2.89728603406,1.59123582523,1.59123582523,2.55245661992,1.5316068956,2.37603170196,2.60936721713,3.95129817558,2.11191822491,2.02951138884,1.94757623506,4.47476272491
LHoests_Monkey,1.55807747092,3.6501860974,1.43278393097,2.36901911034,1.87287992084,1.33465284234,2.41817865256,1.39999705263,1.69118110824,1.91357483775,,3.036045225,2.65219619661,1.95438624774,1.71795298247,1.48540294734,44.0611382541,2.70232235348,2.18095384673,6.51202907319,1.52499702626,1.62447236477,1.89999694643,4.10805186798
Red-capped_Mangabey,0.402027486823,1.67781414481,55.498740093,94.3090359504,1.07629769842,307.757121618,242.388492034,0.716291124525,1.71125526489,2.42521506757,0.542854373178,,228.080607221,0.567496090474,0.487573616337,0.586006760458,0.586006760458,339.454542127,1.09550845373,4.99144517916,0.426414052408,0.716291124525,11.8393008036,2.0569277243
Chimp_pts,0.654095568228,3.51320413813,0.816396624512,1.07629769842,1.46564768358,0.579833735031,4.98310970649,0.936229033517,0.741248902795,0.917238532699,0.847830233542,2.25727748655,,1.04433892842,0.81011854029,0.797570993613,0.660302375965,3.7268270466,1113.39511431,31.0867344776,0.936229033517,12.3268235717,0.854125606799,2.00898353871
Grivet,2.334007005,4.34622183925,3.52078169241,6.08705223671,3.30256970868,2.48869669747,4.89170897888,2.66650044745,2.99208570669,2.83924907829,2.50991899332,6.40247729498,6.40247729498,,6.26655277596,2.55955831381,2.22253480131,6.29364803459,3.13912710991,10.2761501558,2.50991899332,2.69515095868,4.98310970649,4.14749195059
Vervet,1.34769727377,5.17594523515,4.89170897888,2.34800168643,265999973.54,1.55145515801,4.06085712157,1.81880038261,1.88643198027,1.46564768358,1.32813519187,3.49806046162,3.99815598948,4.49898311391,,1.45906877014,1.57796311674,3.75759227469,2.17403534896,4.10805186798,1.85934074971,2.32002584827,2.00214746213,5.10020808657
Talapoin_Monkey,1.41310259633,4.07657257702,2.16020832722,3.60438718345,2.23642183175,1.43935052291,4.21873999268,19.1568728629,3.05807399749,3.63490436835,1.63778893442,4.71867763124,2.7814400536,1.78510486761,2.13259411194,,1.92716567273,2.53826360462,2.52408440247,4.61251263478,2.20172931646,3.10960204286,1.81880038261,5.72513784869
Sun-tailed_Monkey,1.81205488122,4.17911703507,1.91357483775,2.93367547739,2.21559630067,1.96119951025,3.11697781215,1.89321284886,1.96119951025,2.31304033554,23.5046368576,3.43010197854,2.81031615856,1.89999694643,1.94757623506,1.55807747092,,3.38496655981,2.53826360462,6.42979722312,2.20172931646,1.83230099892,2.02951138884,4.14749195059
Mandrill,0.389850700015,2.07752445978,0.90459274424,5.58606763008,0.955245764305,0.685157903278,1.65778736638,0.803843330648,0.716291124525,1.38036171315,41.7609190392,2.08439661922,2.63790592158,0.710058797735,0.710058797735,0.660302375965,21.9008015294,,0.879336004201,23911.2455939,0.685157903278,0.910914185265,0.917238532699,3.05072743551
Chimp_ptt,265999973.54,59809.9367792,0.753744901923,0.898274207622,1.3086004759,0.697602671854,3.33996661506,0.654095568228,0.873029065214,0.561331467529,0.722526296476,3.13912710991,6.85443961585,0.936229033517,0.873029065214,0.785034929475,0.766252328575,2.89001890355,,9.56313707752,0.873029065214,1.90678427529,0.910914185265,1.69786933001
Western_red_colobus,1.12116431808,6.37520252374,1.71795298247,9.16336537391,2.65219619661,1.3869037657,6.37520252374,2.07065559238,2.19480082808,2.08439661922,1.51839026233,12.1755045517,5.78635969322,1.61116834904,1.52499702626,1.74477557302,2.2294766442,2.57377208672,2.96285174036,,1.73806516285,2.65934657377,2.14639458793,8.31831513616
Greater_Spot-nosed_Monkey,2.09815082374,5.2605232001,2.43225489582,3.56632722408,2.71667568148,2.35500410504,12.479328245,3.95129817558,2.40411605237,2.35500410504,2.11880688017,4.62879883826,3.35495158165,2.22253480131,2.36901911034,2.57377208672,2.16712017659,4.80083574754,3.62726929236,6.17655674988,,2.8827553529,2.19480082808,7.02359125544
Mustached_Monkey,0.678939773126,2.58799972334,0.90459274424,1.3607538934,0.828961424603,0.660302375965,81.2377941198,461.970531197,0.741248902795,0.778771198434,0.759997185829,2.26423607695,4.07657257702,0.741248902795,0.759997185829,1.11474589682,0.785034929475,3.40751729672,2.01582288379,4.25051188589,9180.77359091,,0.822677585291,23.1713004586
Sabaeus_Monkey,1.49199421699,3.49049433365,82.3171528547,3.68079594577,2.26423607695,4.53943443997,5.52559998483,1.65778736638,2.18095384673,1.96119951025,1.61116834904,8.57484107297,10.1290529217,3.83477912646,2.7958710147,1.53821987254,1.91357483775,7.24223488012,2.16712017659,6.35704437482,1.71795298247,1.65111807576,,2.81031615856
Red-eared_Guenon,2.35500410504,7.92552191045,2.43225489582,4.13170376656,2.5808841708,2.3410026539,4.01380721836,3.10222993399,2.334007005,2.87549537947,2.27816333048,4.83381981481,3.99815598948,2.19480082808,2.27816333048,2.8827553529,2.46750532288,3.81931037136,3.93571078034,5.25204514811,2.66650044745,2.63790592158,2.29210403055,
