,Pan_troglodytes_schweinfurthii,Pan_troglodytes_troglodytes,Homo_sapiens,Gorilla_gorilla,Colobus_guereza,Piliocolobus_badius,Papio_cynocephalus,Miopithecus_ogouensis,Mandrillus_sphinx,Cercocebus_torquatus,Cercocebus_atys,Cercopithecus_solatus,Cercopithecus_neglectus,Cercopithecus_mona,Cercopithecus_aethiops_sabaeus,Cercopithecus_nictitans,Cercopithecus_albogularis,Cercopithecus_lhoesti,Cercopithecus_aethiops_pygerythrus,Cercopithecus_erythrotis,Cercopithecus_aethiops_tantalus,Cercopithecus_aethiops_aethiops,Cercopithecus_cephus,Cercopithecus_ascanius
Pan_troglodytes_schweinfurthii,,-1.80392809,-1.307371925,-1.097714878,1.389383827,1.45607108,1.350043145,1.277598719,1.300147647,1.363956313,1.318378694,1.328933511,1.345725266,1.349563381,1.32989304,1.323176338,1.381707597,1.35484079,1.337569271,1.336609742,1.318858459,1.32221681,1.343806208,1.349563381
Pan_troglodytes_troglodytes,-1.80392809,,-1.311689805,-1.102032758,1.385065947,1.451753201,1.345725266,1.27328084,1.295829767,1.359638434,1.314060815,1.324615632,1.341407386,1.345245501,1.325575161,1.318858459,1.377389717,1.35052291,1.332771627,1.332291862,1.314540579,1.31789893,1.339488328,1.345245501
Homo_sapiens,-1.307371925,-1.311689805,,-1.073246893,1.413851812,1.480539065,1.374031366,1.302066704,1.324615632,1.387944534,1.342846679,1.352921732,1.370193251,1.374031366,1.354361025,1.347164559,1.405695817,1.37882901,1.361557491,1.360597962,1.342846679,1.346684795,1.368274193,1.374031366
Gorilla_gorilla,-1.097714878,-1.102032758,-1.073246893,,1.408574404,1.475261657,1.369233722,1.296789296,1.319338223,1.38314689,1.337569271,1.348124088,1.364915842,1.368753957,1.349083617,1.342366915,1.400898173,1.374031366,1.356280083,1.355800318,1.338049035,1.341407386,1.362996785,1.368753957
Colobus_guereza,1.389383827,1.385065947,1.413851812,1.408574404,,-0.581968136,0.427935948,0.355491522,0.378040449,0.441849116,0.396271497,0.406826314,0.423618068,0.427456184,0.407785843,0.401069141,0.459600399,0.432733592,0.414982309,0.414502545,0.396751261,0.400109612,0.421699011,0.427456184
Piliocolobus_badius,1.45607108,1.451753201,1.480539065,1.475261657,-0.581968136,,0.494623201,0.422178775,0.444727702,0.508536369,0.46295875,0.473513567,0.490305322,0.494143437,0.474473096,0.467756394,0.526287652,0.499420845,0.481669562,0.481189798,0.463438515,0.466796865,0.488386264,0.494143437
Papio_cynocephalus,1.350043145,1.345725266,1.374031366,1.369233722,0.427935948,0.494623201,,-0.37566944,-0.584366958,-0.520558292,-0.566135911,-0.324814412,-0.307542893,-0.303704778,-0.323375119,-0.330571585,-0.271560563,-0.29842737,-0.316178653,-0.317138182,-0.3344097,-0.33105135,-0.309461951,-0.303704778
Miopithecus_ogouensis,1.277598719,1.27328084,1.302066704,1.296789296,0.355491522,0.422178775,-0.37566944,,-0.425564938,-0.361756272,-0.407333891,-0.736452277,-0.719180758,-0.715822407,-0.735012983,-0.74220945,-0.683678191,-0.710544998,-0.727816517,-0.728776046,-0.746527329,-0.743168978,-0.721099815,-0.715342643
Mandrillus_sphinx,1.300147647,1.295829767,1.324615632,1.319338223,0.378040449,0.444727702,-0.584366958,-0.425564938,,-1.341435198,-1.387012818,-0.374230147,-0.357438392,-0.353600277,-0.373270618,-0.379987319,-0.321456061,-0.348322868,-0.366074152,-0.366553916,-0.384305199,-0.380946848,-0.35935745,-0.353600277
Cercocebus_torquatus,1.363956313,1.359638434,1.387944534,1.38314689,0.441849116,0.508536369,-0.520558292,-0.361756272,-1.341435198,,-1.422995148,-0.310901244,-0.293629726,-0.28979161,-0.309461951,-0.316658417,-0.258127159,-0.284993966,-0.302265485,-0.303225014,-0.320976297,-0.317617946,-0.295548783,-0.28979161
Cercocebus_atys,1.318378694,1.314060815,1.342846679,1.337569271,0.396271497,0.46295875,-0.566135911,-0.407333891,-1.387012818,-1.422995148,,-0.355999099,-0.33872758,-0.335369229,-0.35503957,-0.361756272,-0.303225014,-0.330091821,-0.34736334,-0.348322868,-0.366074152,-0.362715801,-0.341126402,-0.334889465
Cercopithecus_solatus,1.328933511,1.324615632,1.352921732,1.348124088,0.406826314,0.473513567,-0.324814412,-0.736452277,-0.374230147,-0.310901244,-0.355999099,,-0.89669359,-0.892855474,-1.434509494,-0.919722281,-0.861191023,-0.88805783,-1.427313028,-0.906288878,-1.445544076,-1.442185725,-0.898612647,-0.892855474
Cercopithecus_neglectus,1.345725266,1.341407386,1.370193251,1.364915842,0.423618068,0.490305322,-0.307542893,-0.719180758,-0.357438392,-0.293629726,-0.33872758,-0.89669359,,-1.124581685,-0.895734061,-0.946109324,-0.887578066,-0.914444873,-0.88805783,-0.932675921,-0.906768642,-0.903410292,-0.925479454,-0.919722281
Cercopithecus_mona,1.349563381,1.345245501,1.374031366,1.368753957,0.427456184,0.494143437,-0.303704778,-0.715822407,-0.353600277,-0.28979161,-0.335369229,-0.892855474,-1.124581685,,-0.891895946,-0.942750973,-0.884219715,-0.911086522,-0.88469948,-0.92931757,-0.902930527,-0.899572176,-0.921641339,-0.915884166
Cercopithecus_aethiops_sabaeus,1.32989304,1.325575161,1.354361025,1.349083617,0.407785843,0.474473096,-0.323375119,-0.735012983,-0.373270618,-0.309461951,-0.35503957,-1.434509494,-0.895734061,-0.891895946,,-0.918282988,-0.85975173,-0.886618537,-1.47864782,-0.904849585,-1.496878868,-1.493520517,-0.897653119,-0.891895946
Cercopithecus_nictitans,1.323176338,1.318858459,1.347164559,1.342366915,0.401069141,0.467756394,-0.330571585,-0.74220945,-0.379987319,-0.316658417,-0.361756272,-0.919722281,-0.946109324,-0.942750973,-0.918282988,,-1.471451354,-1.103472051,-0.911086522,-1.121703098,-0.929797334,-0.925959219,-1.114026868,-1.108269695
Cercopithecus_albogularis,1.381707597,1.377389717,1.405695817,1.400898173,0.459600399,0.526287652,-0.271560563,-0.683678191,-0.321456061,-0.258127159,-0.303225014,-0.861191023,-0.887578066,-0.884219715,-0.85975173,-1.471451354,,-1.044940793,-0.852555264,-1.06317184,-0.870786312,-0.867427961,-1.05549561,-1.049738437
Cercopithecus_lhoesti,1.35484079,1.35052291,1.37882901,1.374031366,0.432733592,0.499420845,-0.29842737,-0.710544998,-0.348322868,-0.284993966,-0.330091821,-0.88805783,-0.914444873,-0.911086522,-0.886618537,-1.103472051,-1.044940793,,-0.879422071,-1.410041509,-0.897653119,-0.894294768,-1.402845043,-1.39708787
Cercopithecus_aethiops_pygerythrus,1.337569271,1.332771627,1.361557491,1.356280083,0.414982309,0.481669562,-0.316178653,-0.727816517,-0.366074152,-0.302265485,-0.34736334,-1.427313028,-0.88805783,-0.88469948,-1.47864782,-0.911086522,-0.852555264,-0.879422071,,-0.897653119,-1.619218792,-1.615860441,-0.890456652,-0.884219715
Cercopithecus_erythrotis,1.336609742,1.332291862,1.360597962,1.355800318,0.414502545,0.481189798,-0.317138182,-0.728776046,-0.366553916,-0.303225014,-0.348322868,-0.906288878,-0.932675921,-0.92931757,-0.904849585,-1.121703098,-1.06317184,-1.410041509,-0.897653119,,-0.916363931,-0.91300558,-1.537658842,-1.531421905
Cercopithecus_aethiops_tantalus,1.318858459,1.314540579,1.342846679,1.338049035,0.396751261,0.463438515,-0.3344097,-0.746527329,-0.384305199,-0.320976297,-0.366074152,-1.445544076,-0.906768642,-0.902930527,-1.496878868,-0.929797334,-0.870786312,-0.897653119,-1.619218792,-0.916363931,,-1.663836882,-0.9086877,-0.902930527
Cercopithecus_aethiops_aethiops,1.32221681,1.31789893,1.346684795,1.341407386,0.400109612,0.466796865,-0.33105135,-0.743168978,-0.380946848,-0.317617946,-0.362715801,-1.442185725,-0.903410292,-0.899572176,-1.493520517,-0.925959219,-0.867427961,-0.894294768,-1.615860441,-0.91300558,-1.663836882,,-0.905329349,-0.899572176
Cercopithecus_cephus,1.343806208,1.339488328,1.368274193,1.362996785,0.421699011,0.488386264,-0.309461951,-0.721099815,-0.35935745,-0.295548783,-0.341126402,-0.898612647,-0.925479454,-0.921641339,-0.897653119,-1.114026868,-1.05549561,-1.402845043,-0.890456652,-1.537658842,-0.9086877,-0.905329349,,-1.581317404
Cercopithecus_ascanius,1.349563381,1.345245501,1.374031366,1.368753957,0.427456184,0.494143437,-0.303704778,-0.715342643,-0.353600277,-0.28979161,-0.334889465,-0.892855474,-0.919722281,-0.915884166,-0.891895946,-1.108269695,-1.049738437,-1.39708787,-0.884219715,-1.531421905,-0.902930527,-0.899572176,-1.581317404,
