host,mass
Cercocebus_atys,8.6
Cercocebus_torquatus,7.485
Cercopithecus_aethiops_aethiops,3.62
Cercopithecus_aethiops_pygerythrus,3.62
Cercopithecus_aethiops_sabaeus,4.3
Cercopithecus_aethiops_tantalus,3.62
Cercopithecus_albogularis,6.09
Cercopithecus_ascanius,3.31
Cercopithecus_cephus,3.585
Cercopithecus_erythrotis,3.585
Cercopithecus_lhoesti,4.71
Cercopithecus_mona,5.1
Cercopithecus_neglectus,5.74
Cercopithecus_nictitans,5.465
Cercopithecus_solatus,5.405
Colobus_guereza,11.35
Gorilla_gorilla,120.95
Homo_sapiens,60.7
Mandrillus_sphinx,22.25
Miopithecus_ogouensis,2.25
Pan_troglodytes_schweinfurthii,38.2
Pan_troglodytes_troglodytes,52.75
Papio_cynocephalus,17.05
Piliocolobus_badius,8.285
