,Miopithecus_ogouensis,Cercopithecus_aethiops_aethiops,Papio_cynocephalus,Cercopithecus_aethiops_tantalus,Cercopithecus_mona,Cercopithecus_nictitans,Cercopithecus_solatus,Cercocebus_atys,Cercopithecus_ascanius,Homo_sapiens,Cercopithecus_neglectus,Pan_troglodytes_schweinfurthii,Gorilla_gorilla,Pan_troglodytes_troglodytes,Mandrillus_sphinx,Piliocolobus_badius,Cercopithecus_lhoesti,Cercocebus_torquatus,Cercopithecus_erythrotis,Cercopithecus_cephus,Cercopithecus_aethiops_sabaeus,Cercopithecus_albogularis,Colobus_guereza,Cercopithecus_aethiops_pygerythrus
Miopithecus_ogouensis,,-0.237038194107,0.782604286799,-0.237038194107,-0.124672529793,-0.0969607274452,-0.101516092215,0.141057081761,-0.260574245417,4.09663215661,-0.0760819722517,2.38837036805,8.67097761265,3.49304632465,1.17740256682,0.117141416721,-0.154282400795,0.0564032197947,-0.239695490223,-0.239695490223,-0.18541072672,-0.0495090110963,0.349844633697,-0.237038194107
Cercopithecus_aethiops_aethiops,-0.405702042818,,0.292703329302,-0.341052356344,-0.271211819132,-0.25398763259,-0.25681900572,-0.106048386537,-0.355681117517,2.35252728153,-0.241010505743,1.2907623577,5.19569779979,1.97737034178,0.538089000587,-0.12091309547,-0.289615744479,-0.158664737206,-0.34270399067,-0.34270399067,-0.308963460869,-0.224494162484,0.0237228819317,-0.341052356344
Papio_cynocephalus,-0.48933549107,-0.475609281977,,-0.475609281977,-0.460780968505,-0.45712398579,-0.457725133634,-0.425714010968,-0.478715212502,0.0962826997892,-0.454368724841,-0.129147741517,0.699935325953,0.0166306105278,-0.288952876576,-0.428870037146,-0.464688429487,-0.436885341726,-0.475959951553,-0.475959951553,-0.468796273084,-0.450862029087,-0.398161401475,-0.475609281977
Cercopithecus_aethiops_tantalus,-0.405702042818,-0.341052356344,0.292703329302,,-0.271211819132,-0.25398763259,-0.25681900572,-0.106048386537,-0.355681117517,2.35252728153,-0.241010505743,1.2907623577,5.19569779979,1.97737034178,0.538089000587,-0.12091309547,-0.289615744479,-0.158664737206,-0.34270399067,-0.34270399067,-0.308963460869,-0.224494162484,0.0237228819317,-0.341052356344
Cercopithecus_mona,-0.436514044529,-0.390625443542,0.0592168274464,-0.390625443542,,-0.328826561191,-0.330836280942,-0.223818704188,-0.40100899559,1.52128794648,-0.319615345664,0.767643039762,3.53938153003,1.25500007944,0.233392539221,-0.234369732882,-0.354115534728,-0.261165996232,-0.391797780063,-0.391797780063,-0.367848619694,-0.307891980449,-0.131706548922,-0.390625443542
Cercopithecus_nictitans,-0.441547537501,-0.398723774458,0.0210741362541,-0.398723774458,-0.352461607082,,-0.342927849616,-0.243057832883,-0.40841382303,1.38549549162,-0.332456345514,0.682185514628,3.2688033189,1.13699263308,0.183616886492,-0.252904172561,-0.36465231335,-0.277910749521,-0.3998178122,-0.3998178122,-0.377468184042,-0.321515968095,-0.157097724584,-0.398723774458
Cercopithecus_solatus,-0.440766804872,-0.397467662405,0.0269903546236,-0.397467662405,-0.350691946456,-0.339156043536,,-0.240073699278,-0.407265278584,1.406557923,-0.330464609829,0.695440619714,3.31077203514,1.15529647584,0.191337464717,-0.250029341524,-0.363017979713,-0.275313512307,-0.398573844877,-0.398573844877,-0.375976117239,-0.319402785111,-0.153159362209,-0.397467662405
Cercocebus_atys,-0.46718563957,-0.439972632008,-0.173205703863,-0.439972632008,-0.410574638437,-0.40332445759,-0.40451626814,,-0.44613031985,0.693836471378,-0.397861992569,0.246907515068,1.89061289883,0.535921573482,-0.0699154561829,-0.347309361733,-0.418321407013,-0.363200169068,-0.440667854829,-0.440667854829,-0.426465445773,-0.390909764359,-0.286427706129,-0.439972632008
Cercopithecus_ascanius,-0.395758020872,-0.325053529926,0.368056917821,-0.325053529926,-0.248672036057,-0.229834708177,-0.232931255225,-0.0680401248791,,2.62079489579,-0.21564220087,1.45958975251,5.73024422391,2.21050241183,0.636424328713,-0.0842969968851,-0.268799591873,-0.125584290869,-0.326859849038,-0.326859849038,-0.28995933004,-0.197579009752,0.0738849481888,-0.325053529926
Homo_sapiens,-0.505546428077,-0.501690878406,-0.46389523455,-0.501690878406,-0.497525759053,-0.496498550564,-0.496667406754,-0.487675814638,-0.502563302054,,-0.49572462636,-0.404373427584,-0.171492598913,-0.363425801516,-0.449261031419,-0.488562309635,-0.498623324288,-0.490813725502,-0.50178937785,-0.50178937785,-0.499777174919,-0.494739631918,-0.479936572597,-0.501690878406
