,Human,Gorilla,Baboon,Sooty_Mangabey,Chimp_ptt,Colobus_Monkey,Vervet,Tantalus_Monkey,Red-capped_Mangabey,Chimp_pts,DeBrazzas_Monkey,Mandrill,Western_red_colobus,Sabaeus_Monkey,Red-eared_Guenon
Human,,0.0433609811141,0.0163777574853,0.00750960777723,0.0140268135123,0.0127639075053,0.00874903842468,0.00774214089093,0.0443102791529,0.0758981973643,0.00958880682854,0.0133411329692,0.0829587174712,0.00964604359796,0.0334324157984
Gorilla,4.51972673553,,0.0120227121414,0.0121959634593,0.610395807406,0.0196357046886,0.00926877022923,0.0129772583618,0.0263692927128,0.434063173392,0.0124489286892,0.015133876673,0.0503983131852,0.00988034229087,0.0303211224178
Baboon,0.10908143975,0.191250169196,,0.104245423599,0.12241984643,0.709446135541,0.115435048622,0.14546339186,1.06017378703,0.277441799691,0.144071243894,0.188861052411,0.480861588052,0.134508888951,0.238008275091
Sooty_Mangabey,7.50717660773,0.0185897735709,0.0131364953903,,0.00878835966351,0.0183544710403,0.0083027887926,0.0115839585945,0.0275046684591,0.0193192635044,0.0164713682965,0.0308909304742,0.131328363371,0.012786824783,0.0314339986697
Chimp_ptt,2.58215265983,1.11591323221,0.00908656267529,0.00651352597976,,0.00857751994423,0.00455782340453,0.00534252046483,0.0200835573271,0.164393086744,0.0082647666924,0.00826503314713,0.041181576164,0.0039175647076,0.0190318130695
Colobus_Monkey,0.00874187356301,0.0762699368484,0.0247311447055,0.00663039735391,0.0213344125022,,0.0103654372099,0.0146335219484,0.262826731808,0.0302698633385,0.0209420246861,0.026690269846,0.178502971226,0.0131938741845,0.0884055554409
Vervet,0.0163340515968,0.0716044249171,1.14713853731,0.0152564972148,0.0257517070843,0.0238239879818,,0.102474910381,0.0403141042916,0.111597679321,0.0173091655177,0.0214594067266,0.0678358638966,0.026774448967,0.0504000219309
Tantalus_Monkey,0.0308096145141,0.0692462335229,0.0459466094248,0.0329024870588,0.0279277426945,0.0741298718161,1.66912290154,,0.0904024846899,0.134052846485,0.0455076301031,0.0898913573945,0.298766651312,0.659747754154,0.0802366221415
Red-capped_Mangabey,0.00197887701334,0.188453967082,0.00533968414035,1.06228019692,0.0764771518392,0.213217233826,0.00968077545755,0.382190564634,,0.801707573593,2.13721907922,1.89132933011,0.0358372747956,1.21246480835,0.0614764622072
Chimp_pts,0.00532389571264,0.238322912098,0.0100753579271,0.00669120329642,1.00574976082,0.0131252170863,0.00499273872278,0.00761747555638,0.0162509906285,,0.01100426689,0.0190545491803,0.193928600051,0.00427692235839,0.0272707457152
DeBrazzas_Monkey,0.0083244939136,0.0533616806079,0.0255980150464,0.0197353300082,0.020091709062,0.230021709346,0.0118198725679,0.0253218107064,0.0903533321763,0.0484045417681,,0.115865004292,0.246239433405,0.0293683585106,0.20215640251
Mandrill,0.00433570014831,0.0270804147509,0.0101165172962,0.00566933850416,0.00932003108908,0.159824820051,0.00515015803299,0.00713331891574,0.0571441515921,0.0246553440888,0.0164410986324,,1.25037942138,0.0117040779139,0.0799581393264
Western_red_colobus,0.00845825460781,0.0751291520783,0.0262612910699,0.0139665396832,0.0214339255911,0.653451023977,0.0104181304198,0.0146513877785,0.900869069508,0.0736936150088,0.0541916373473,0.0535561840589,,0.0156173981688,0.192225735905
Sabaeus_Monkey,0.0141938739241,0.0463396511881,0.0217788437999,0.018845042188,0.0199082632998,0.0390530831165,1.10756368178,3.35031512706,0.0530066558723,0.0722385286095,0.0232977004229,0.0364703932631,0.089687415744,,0.0700278592784
Red-eared_Guenon,0.0511781209604,0.188847739426,0.0678329106804,0.0600276865386,0.0802787977597,0.312186379441,0.0518833218721,0.0472989803264,0.56270139796,0.0907400081274,0.118377065368,0.0833454416519,0.323089649658,0.0498147901603,
