,Human,Gorilla,Baboon,Sooty_Mangabey,Chimp_ptt,Colobus_Monkey,Red-capped_Mangabey,Vervet,Tantalus_Monkey,Chimp_pts,DeBrazzas_Monkey,Mandrill,Western_red_colobus,Sabaeus_Monkey,Red-eared_Guenon
Human,,1.6633359385,0.688759096015,0.391710756798,0.56995865275,0.56995865275,2.20527209151,0.426853717152,0.45389669385,4.27610009047,0.45598302704,0.690945055681,5.31134786228,0.38759264284,1.42204979052
Gorilla,94999990.55,,0.535916962189,0.391710756798,3.67979839348,0.664775287313,1.07670779596,0.470611883857,0.510536352947,3.86522040444,0.531677926961,0.544405789342,1.54137482085,0.478990548425,1.08142007335
Baboon,1.53111808742,2.50404195046,,1.57225978179,1.79338905214,6.42890410313,7.349943801,1.76393036947,1.93200825126,3.45336610944,2.36906398437,2.31885894266,4.98612160931,1.76660207939,3.00987457073
Sooty_Mangabey,94999990.55,0.606381903576,0.664775287313,,0.466427825595,0.71724992286,1.02748110289,0.414421841534,0.540159581467,0.832824632062,0.523210590503,0.939559292356,5.20588007649,0.44764293742,1.21025809354
Chimp_ptt,94999990.55,32.6472750012,0.510536352947,0.324197536277,,0.510536352947,1.12164460849,0.263616673832,0.358861575461,3.63969389492,0.35272662801,0.474799456657,1.76927505703,0.301897461628,0.930389719984
Colobus_Monkey,0.39995728429,2.84407324012,0.781384168681,0.44764293742,0.857608988486,,5.77822205239,0.504211246397,0.516869462582,1.05320922537,0.871177907077,0.941854205116,4.8895767359,0.578505190059,2.67324293013
Red-capped_Mangabey,0.15447056357,2.03192382472,0.307969253771,94999990.55,1.00420051922,11.8195643358,,0.426853717152,5.20132858228,41.7958686307,2252.35090831,94999990.55,1.25147003718,39.7227724234,3.01646738913
Vervet,0.625771677065,1.65285147302,94999990.55,0.632251479069,0.765829882664,0.754748461275,1.08142007335,,1.8230022261,2.921546493,0.739274602363,0.690945055681,1.56194561458,0.690945055681,1.42204979052
Tantalus_Monkey,0.748111084346,1.515768667,1.03682225634,0.719448126135,0.839572231218,1.65809124288,1.69490794309,29.2122906633,,4.15334670116,1.33732479611,1.71076100888,7.20182547436,5.32521616336,2.04593928708
Chimp_pts,0.362955786653,5.64185286231,0.499998947369,0.377312343802,29.7561821255,0.567824282766,0.719448126135,0.249588490395,0.414421841534,,0.649571565217,0.817114431243,17.9249343462,0.318105640956,1.16217613219
DeBrazzas_Monkey,0.510536352947,1.95682447457,0.826085834121,0.625771677065,0.792523261915,2.05717620959,1.26365162433,0.56995865275,0.848582750699,1.45732284229,,1.82030370349,6.41822789574,0.803686518038,5.28829159585
Mandrill,0.33436751197,1.31019449133,0.474799456657,0.322166064706,0.510536352947,4.49116141515,1.37205185717,0.336404034334,0.523210590503,1.14544927774,1.18616302743,,3644.20562671,0.51264649951,2.81207720165
Western_red_colobus,0.508427095615,2.57729315061,0.810396102627,0.518982280217,0.682206840064,15.3301032854,17.705032301,0.474799456657,0.563558255979,2.53445502477,2.44667857813,1.2539041483,,0.638739579644,6.86801923363
Sabaeus_Monkey,0.531677926961,1.34474762046,0.651740740357,0.671305120845,0.673483596757,0.99259879693,1.32004432574,18.1162710418,94999990.55,2.80569788786,0.862128014602,0.909816961449,1.93476029914,,1.81760646681
Red-eared_Guenon,0.944150127072,3.76815457149,1.34970182164,1.10741283973,1.53111808742,3.96371691274,5.42771607044,0.967164999211,1.15261149892,2.13360131844,3.01976640488,1.65547074266,4.26412434597,1.08849636776,
