,Human,Gorilla,Baboon,Sooty_Mangabey,Chimp_ptt,Colobus_Monkey,Red-capped_Mangabey,Vervet,Tantalus_Monkey,Chimp_pts,DeBrazzas_Monkey,Mandrill,Western_red_colobus,Sabaeus_Monkey,Red-eared_Guenon
Human,,0.0477210813454,0.012899535529,0.00948674928814,0.0119755951361,0.0131265102428,0.0446957261543,0.00762049719343,0.00965939217642,0.0679423343692,0.0096515722127,0.0141803932043,0.0867853042342,0.0063733472088,0.0339922125964
Gorilla,4.78655464512,,0.0139830306401,0.0096421374063,0.597783940185,0.0192375382967,0.037341601496,0.0112794942714,0.0140768582563,0.359119238183,0.0143939463431,0.0156953573461,0.0579706853986,0.0111380391519,0.0382404985637
Baboon,0.109824831595,0.186184198022,,0.120781361728,0.137305676524,0.761507210776,1.09897164952,0.138639015411,0.154510264834,0.261706179866,0.198649403064,0.197505023939,0.528970118582,0.138860628227,0.251913240266
Sooty_Mangabey,7.94894084992,0.0169137802056,0.0172310343742,,0.00956895276281,0.0203693284868,0.0321993167443,0.0102828497864,0.0132846261291,0.0250529782223,0.0159338626394,0.0301486450304,0.140422745259,0.0106813584137,0.0402738206575
Chimp_ptt,2.73437171403,1.20201323643,0.0120437624927,0.00618110277646,,0.0112255869203,0.0275332870463,0.00392228419678,0.00627575261214,0.173463655326,0.0063117881542,0.0108970397992,0.0446895713452,0.00507534403421,0.0275076093105
Colobus_Monkey,0.00823750227805,0.0743535834084,0.0258774018461,0.00946218579856,0.0228033892601,,0.295536974518,0.0116452946732,0.0130075673743,0.0300334157558,0.0249518500414,0.030674372645,0.194505308114,0.0127420067988,0.0950887942821
Red-capped_Mangabey,0.00159957458624,0.144422815074,0.00585920362325,1.06273508222,0.0748831172029,0.298777938583,,0.00975619102295,0.441544861207,0.861436827005,1.00673500473,1.98232427783,0.0451570597241,1.18437460997,0.0671402877517
Vervet,0.0160297192725,0.0688866539379,1.18714471746,0.0183191417636,0.0266949284921,0.0279402165942,0.0453629795556,,0.114025471739,0.109057819528,0.0288782484983,0.0229668889642,0.0691541099036,0.0238848562405,0.0521270338182
Tantalus_Monkey,0.0300503190763,0.0660905495514,0.0462904618647,0.033516478978,0.0320729320225,0.088571503463,0.093025727039,1.75408418192,,0.169458964929,0.0673227233594,0.0900187316965,0.293956268144,0.766966336095,0.105849384255
Chimp_pts,0.00628819607065,0.29055371092,0.0107030457958,0.00772711998675,1.10241753479,0.0145085858778,0.0198731752098,0.00455559957187,0.00883384922359,,0.0168872640191,0.0200412258662,0.197142083028,0.00525297756875,0.0273994687791
DeBrazzas_Monkey,0.0131593825872,0.0651701722877,0.0272251818182,0.0189126799449,0.0246982089165,0.101046139955,0.0570272495779,0.0143872189373,0.0269902091048,0.0562700921379,,0.0783312144069,0.224134160223,0.0238983183911,0.182603656712
Mandrill,0.0067591737562,0.0366758902037,0.0125981201714,0.00585038546936,0.0125874296933,0.191306845763,0.0567384309674,0.00481649020941,0.0118889517549,0.0353114425169,0.0414929541874,,1.3795234052,0.0121190144111,0.0775084656467
Western_red_colobus,0.0119055131901,0.0792799401777,0.033477965475,0.013525401757,0.0211142467956,0.660554079919,0.813136253926,0.0113200776148,0.0139334004788,0.0914121566049,0.108990574178,0.0561382525068,,0.0194672758474,0.217584197738
Sabaeus_Monkey,0.0146139706954,0.0522955524984,0.0203014680038,0.0223863468249,0.0230714538082,0.0397605677217,0.0598472771092,1.14227948885,3.47761581917,0.110025717401,0.0360323920094,0.0337963730016,0.0830138433154,,0.0739628893176
Red-eared_Guenon,0.0436661541586,0.206211377855,0.0669862195616,0.0531686206099,0.0790806216199,0.319683553619,0.585569191775,0.046661663699,0.0604924318776,0.123421562745,0.199944129093,0.0996932883966,0.325530585368,0.0515751251152,
