Host Common Name	Host Scientific Name	Lentivirus Lineages
Sooty Mangabey	Cercocebus atys	SIVsmm
Red-capped Mangabey	Cercocebus torquatus	SIVrcm
Grivet	Cercopithecus aethiops aethiops	SIVgrv
Vervet	Cercopithecus aethiops pygerythrus	SIVver
Sabaeus Monkey	Cercopithecus aethiops sabaeus	SIVsab
Tantalus Monkey	Cercopithecus aethiops tantalus	SIVtan
Sykes Monkey	Cercopithecus albogularis	SIVsyk
Red-tailed Guenon	Cercopithecus ascanius	SIVasc
Mustached Monkey	Cercopithecus cephus	"SIVmus-1, SIVmus-2, SIVmus-3"
Red-eared Guenon	Cercopithecus erythrotis	SIVreg
LHoests Monkey	Cercopithecus lhoesti	SIVlst
Mona Monkey	Cercopithecus mona	SIVden
DeBrazzas Monkey	Cercopithecus neglectus	SIVrcm
Greater Spot-nosed Monkey	Cercopithecus nictitans	SIVgsn
Sun-tailed Monkey	Cercopithecus solatus	SIVsun
Colobus Monkey	Colobus guereza	SIVcol
Gorilla	Gorilla gorilla	SIVgor
Human	Homo sapiens	"HIV-1, HIV-2"
Mandrill	Mandrillus sphinx	"SIVmnd-1, SIVmnd-2"
Talapoin Monkey	Miopithecus ogouensis	SIVtal
Chimp pts	Pan troglodytes schweinfurthii	SIVcpz
Chimp ptt	Pan troglodytes troglodytes	SIVcpz
Baboon	Papio cynocephalus	SIVbab
Western red colobus	Piliocolobus badius	SIVwrc
