# BEAST v1.8.2, r6687
# Generated Sun Oct 02 13:47:10 PDT 2016 [seed=1475441228248]
state	posterior	prior	likelihood	treeModel.rootHeight	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-748021.3727923041	-698429.4261360033	-49591.94665630079	201.47846089216915	630.0	0.5	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-49591.94665630079	-698401.7016580815
15000	-30339.04230612347	7.20616079369546	-30346.248466917164	0.7187308939956574	3.312779090529943	0.025646666795093954	1.197103974452398	2.0434454199240832	0.583045194619624	0.643090569236563	0.40107229471966255	0.2546962862544708	0.25216119127732173	0.2562091527407604	0.2369333697274469	0.890245305679525	1.0	-30346.248466917164	34.69570309728291
30000	-26621.54762305701	11.042728487490251	-26632.5903515445	0.9678417449426654	3.7421315432822277	0.25068203649436743	0.8275797924109941	1.4153460019501496	0.30803553752108215	0.49389483409836143	0.18852940860914763	0.2728889741259894	0.24405717420747144	0.24787674216261874	0.2351771095039203	0.8843201735564616	1.0	-26632.5903515445	36.11473571580823
45000	-26484.704929445383	8.484201778223444	-26493.189131223608	1.061286596656279	2.7695301261958956	0.44840881097410146	0.6407873521143982	1.1758995579627969	0.3119655647415525	0.39302388477153516	0.1820760311585134	0.2944810853948816	0.2479049434688912	0.24029398297487126	0.21731998816135578	0.8291456777009706	1.0	-26493.189131223608	32.74770396939197
60000	-26429.150694336047	0.3602790344779123	-26429.510973370525	2.416727435186013	1.1985067242656626	0.7733237597362299	0.543360709762776	1.0164589643740727	0.38239432811210833	0.33430120048648493	0.18235615776564565	0.32571965476805975	0.2569780499546916	0.25384773839020747	0.16345455688704094	0.8155935891476696	1.0	-26429.510973370525	24.3261653151836
75000	-26397.484753741748	-0.3720827338132686	-26397.112671007933	2.4555407019485713	1.4001553127702708	0.6687554058036833	0.4696144341898295	0.8542758652016064	0.3145044415708568	0.31416544058070034	0.17269997213562416	0.3293104863571059	0.24907477284356463	0.26126537986052856	0.16034936093880076	0.7363633092739517	1.0	-26397.112671007933	22.810004381816366
90000	-26389.67648642835	5.132170810196431	-26394.808657238547	2.4439120854498637	0.9363179098458161	0.8344719818092489	0.43068002496257846	0.7827690373508663	0.2748794704048436	0.3076845244455785	0.20239643544991734	0.3317073912376789	0.26168542899113617	0.26021053030931535	0.14639664946186948	0.7160995765208632	1.0	-26394.808657238547	28.102359970081675
105000	-26388.138096607305	-5.963360005514577	-26382.17473660179	3.311411053301545	0.8360793675787619	0.8468696631354087	0.4115551369828035	0.800495213740131	0.29051178296001706	0.3157526414156716	0.16049894603978263	0.33821895528422263	0.2407882792517799	0.2670393098100618	0.15395345565393545	0.7385379426829539	1.0	-26382.17473660179	16.883773821966205
120000	-26394.7150939386	-2.7091947230397366	-26392.00589921556	2.329584168013451	2.40088706715886	0.52503537337218	0.4331510090593529	0.7547328781631255	0.26428137568261933	0.24481130212864097	0.1677649146008233	0.3378541766260869	0.24178502787728737	0.2683580777329815	0.15200271776364394	0.7283339442188889	1.0	-26392.00589921556	19.811491266815047
135000	-26381.194628455818	-3.5987449818561146	-26377.59588347396	3.234096405069843	2.357536077622705	0.575160630351811	0.38168912508060293	0.6626711376381577	0.2866810146086542	0.27525335413363705	0.14106210698990704	0.35295656740964365	0.23287087990401242	0.27939908428916466	0.1347734683971789	0.6860780607113361	1.0	-26377.59588347396	18.610493912659145
150000	-26372.80174707505	3.5378302711727194	-26376.33957734622	2.790887569289081	1.856746727957447	0.587366651083117	0.40244454058095214	0.642034207631743	0.25502095520338597	0.24447630178179283	0.14552301850170044	0.3451064089851177	0.22801567703340875	0.2852720239548549	0.14160589002661828	0.7517978900644082	1.0	-26376.33957734622	25.69976198704681
165000	-26395.330092172793	-7.274157478490849	-26388.0559346943	2.6990246330424608	1.61964550285746	0.6672018024357628	0.3530219434083417	0.6069175120293839	0.25665835112392055	0.24619455414043118	0.1632348927337405	0.3411623204127237	0.23342704256753463	0.28458079029041483	0.14082984672932647	0.7414560462937895	1.0	-26388.0559346943	14.806433997473498
180000	-26404.098671389875	-6.907938505977532	-26397.190732883897	2.952666960523563	2.1617311207737853	0.4972529281417053	0.34850196245459714	0.6619157682190663	0.3023351357173073	0.2843709370362602	0.18442403098194532	0.34416148533611196	0.24329192531997595	0.27159222365415225	0.1409543656897594	0.7255494394656465	1.0	-26397.190732883897	15.632303362330449
195000	-26392.869007137302	-4.748347434523961	-26388.120659702778	2.674252185049657	1.3375055505686109	0.6869345211583897	0.36740415330264253	0.6087768413459018	0.27423885810982823	0.22832072114323926	0.15492518741253422	0.34673289286082126	0.23832773538246044	0.2789620936727514	0.13597727808396648	0.7254391998729351	1.0	-26388.120659702778	17.283426043285772
210000	-26388.875018312225	-5.09038746938748	-26383.784630842838	2.415069139691285	2.7210741238911837	0.40812131676271896	0.36788648865812806	0.6648282127032146	0.32295705342593334	0.26778738596418833	0.1570345576412622	0.341176348348241	0.23870522645416972	0.27712043365416106	0.14299799154342785	0.6771884478332083	1.0	-26383.784630842838	17.261345339967644
225000	-26389.812940646723	-5.555011609404829	-26384.257929037318	3.0869529083156806	1.6391424117306501	0.6814511633043974	0.38892793467821	0.6617831315721949	0.28172503143643857	0.256150931915149	0.17058812020099182	0.3369110294012414	0.22490715132106215	0.29675968617747833	0.14142213310021776	0.686444201727378	1.0	-26384.257929037318	16.768413731839193
