# BEAST v1.8.2, r6687
# Generated Mon Oct 24 10:49:51 PDT 2016 [seed=1477331390222]
state	posterior	prior	likelihood	treeModel.rootHeight	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-1065509.3158286563	-989127.5950523934	-76381.720776263	385.5093670749284	630.0	0.5	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-76381.720776263	-989099.8705744715
15000	-41242.75084061842	82.71258455753761	-41325.463425175956	0.734945232739044	6.193177487076582	0.09493194301282792	0.49657647334703986	1.8803120805752491	0.43338728582613995	0.48418886149847024	0.35465824207656266	0.2699915988763252	0.252681383651696	0.23043272360728204	0.24689429386469683	0.5536824709919121	1.0	-41325.463425175956	107.83206889789439
30000	-30674.496664769384	142.72706655226088	-30817.223731321643	0.8178253432329724	8.073181126056102	0.06488738026281342	0.288442938556775	1.2458797740568142	0.29347121331716014	0.335707864375809	0.10939237468408007	0.2818683499334581	0.25839265009146034	0.21493009595511967	0.24480890401996191	0.5627313075908887	1.0	-30817.223731321643	165.01596866966665
45000	-29487.1761191712	132.26467873727591	-29619.440797908475	1.1044362745742151	5.303475480785262	0.36273673075337715	0.1974418306973019	0.9958546375501746	0.21728295248922366	0.19025058827209435	0.05001141047924223	0.30995428525608765	0.25646089570282465	0.18935626471932224	0.2442285543217655	0.5219214874353436	1.0	-29619.440797908475	152.28075054174562
60000	-29451.979100602704	132.53506341873086	-29584.514164021435	1.0846522022987384	4.98486868834243	0.5346146647946053	0.1902501964965035	0.9834894101850327	0.248824293332128	0.20384464610786682	0.048641520022079915	0.33891737123217075	0.25061233211479483	0.18187080125308513	0.22859949539994923	0.5219214874353436	1.0	-29584.514164021435	152.67500534950005
75000	-29377.785446172802	130.7685638792429	-29508.554010052045	1.181701202175271	5.437012017748795	0.5592865349225056	0.1758907837701379	0.7739299312987843	0.18972321376345302	0.20035278232388382	0.06607561163802071	0.36264614861906636	0.2373114901458938	0.18347220044608806	0.21657016078895172	0.508082002260833	1.0	-29508.554010052045	150.57916973117798
90000	-29335.814039485685	124.87610264834268	-29460.69014213403	1.12704790909217	3.379104716736046	0.6891171624752779	0.1578944545304761	0.6497188638720337	0.16490785701086083	0.17043005713300746	0.08206894095597395	0.38804304233760917	0.22130533303894448	0.19369622373205836	0.19695540089138794	0.5162016810053464	1.0	-29460.69014213403	144.34141358452936
105000	-29330.37146794925	126.38949666602657	-29456.760964615278	1.206134466643619	3.9845478028901535	0.6650075324819684	0.14300426970055466	0.5783709739853632	0.15585183328816524	0.1824814243150741	0.07209715079903468	0.4045321815301764	0.20632950814944573	0.20147359158775868	0.18766471873261922	0.532897972385314	1.0	-29456.760964615278	145.566020694234
120000	-29287.733397028573	133.7059885374435	-29421.439385566016	1.0185915954037648	5.912771745578801	0.4116173602473507	0.15046101528613115	0.5497988509861192	0.16816473525884218	0.1687018352948069	0.059913796150877156	0.40444381355192865	0.20637665962811205	0.20687162631830494	0.1823079005016544	0.5357830069211007	1.0	-29421.439385566016	152.70818720166156
135000	-29208.08370973279	131.6158119865722	-29339.69952171936	0.954703700546239	4.683986094703313	0.5228714332954819	0.1602330763144824	0.5595431470978661	0.15966449444780126	0.16631494058870927	0.05505112304545344	0.39493793925832615	0.19959991064616112	0.21715908957222807	0.18830306052328477	0.5197971736300327	1.0	-29339.69952171936	150.5191720004995
150000	-29194.738026868734	127.8662604413006	-29322.604287310034	1.274208359309798	5.06878291596971	0.4927835299050028	0.13533559664082848	0.5041633169748942	0.1461498478700545	0.15801318367347017	0.06498282726462154	0.41428476997743907	0.20180919333741804	0.20937720392602707	0.17452883275911596	0.5301138621653713	1.0	-29322.604287310034	146.549272045261
165000	-29201.848231397962	125.1363090196465	-29326.98454041761	1.136375317035933	4.449075461907232	0.5833066834643144	0.11705979986679513	0.4367007879561516	0.14402341695244766	0.13919117913514037	0.0504487736609929	0.41678483725279214	0.19644781432345781	0.20847334889572397	0.1782939995280262	0.5064344386440431	1.0	-29326.98454041761	143.11400570423683
180000	-29199.93688685051	120.92489955447328	-29320.861786404985	1.3641656803252167	3.7229955504898005	0.5961276523373155	0.12490661684208797	0.45577088841869573	0.12882263902720562	0.14712781743088513	0.04031409224153885	0.417031744211206	0.19848468163989325	0.20752363083033984	0.176959943318561	0.5103073813695392	1.0	-29320.861786404985	138.74625653631054
195000	-29220.262753055624	121.84719807569792	-29342.109951131322	1.0537985190009531	4.5516600433089325	0.5138860789156484	0.11732224493216857	0.46466071486704036	0.1528345663968346	0.15112079286124477	0.050939484866780384	0.41239385424871655	0.1987617296507031	0.21245377086199912	0.17639064523858122	0.5230155374890212	1.0	-29342.109951131322	140.06641472406855
210000	-29216.953526516067	114.24581048343546	-29331.199336999503	1.3032906022892146	3.4326944823322956	0.6945658056653539	0.11593791155253981	0.4343202901840217	0.13692914291892216	0.14242176863376851	0.0544418653582219	0.42219246346624234	0.1945038953731055	0.21080227591255604	0.17250136524809614	0.5289319386339885	1.0	-29331.199336999503	132.3001193894026
225000	-29198.470408836645	122.90214323027263	-29321.372552066918	1.365962497021173	3.6932965970989318	0.7030577790747069	0.112211408789918	0.4288365400721353	0.12485854705259926	0.13608148140254958	0.06068762184714198	0.4425855493527954	0.1846573392812859	0.2046372978508308	0.16811981351508795	0.4995961534392797	1.0	-29321.372552066918	140.82505539158666
240000	-29184.589202692998	125.67056322043632	-29310.259765913434	1.3688381986932423	3.86888005819001	0.588882531539009	0.1072274520945414	0.4020498115781516	0.13285724072695038	0.14236335557253843	0.04829252420678822	0.44378066549256534	0.18837965630614373	0.20554291019042564	0.1622967680108653	0.5201829176078682	1.0	-29310.259765913434	143.41338567160747
255000	-29196.281065080824	123.36470399809262	-29319.645769078918	1.1320627513042925	4.3859922255658255	0.6427155745958253	0.12055888073050401	0.428479132254043	0.15284798504694558	0.12937237018783151	0.04986972997355737	0.4230973272165036	0.1910931330347919	0.21914285313592388	0.16666668661278067	0.5187465846351123	1.0	-29319.645769078918	141.35276292158167
270000	-29208.208925080486	121.25018004770186	-29329.459105128186	1.1644223730724566	2.9594533048366727	0.6491116230025334	0.10919035039073258	0.38717648990023684	0.146394688807427	0.14324818569843792	0.056370337141297876	0.43905673133699163	0.18299405688949588	0.21712036128783235	0.16082885048568016	0.5076626693277273	1.0	-29329.459105128186	139.19608626630645
285000	-29202.684827585934	117.91018054173003	-29320.595008127664	1.4913078259654988	3.480019479790809	0.6031023901721866	0.1192522598542407	0.37903842885661954	0.1312536053033163	0.12731341896292162	0.043754743248471346	0.4329779788458398	0.18299405688949588	0.2279299476611393	0.15609801660352504	0.5125081516192249	1.0	-29320.595008127664	135.46914539847464
300000	-29216.84097796818	120.35240260460601	-29337.193380572786	1.2403644834141023	2.802358390917666	0.704632645701466	0.11336146099681746	0.37699301820900877	0.1346244259823584	0.13803732742809455	0.04611467845072029	0.4189226999633654	0.18577907079958103	0.2303283856682242	0.16496984356882935	0.5008511740448496	1.0	-29337.193380572786	137.9865635804527
315000	-29196.668448826047	118.30364351350866	-29314.972092339554	1.2309147819398223	4.031711453076766	0.5884510934871096	0.1220075441169219	0.40404730975643577	0.12879909181219623	0.1480783375708766	0.03731004860000083	0.4220912093324195	0.1833576572682865	0.22155653607227624	0.1729945973270177	0.51203755148788	1.0	-29314.972092339554	135.92100994173427
330000	-29202.65578267476	123.36719729942033	-29326.02297997418	1.3912374958003164	3.339464484093831	0.673333453847206	0.1212242969400099	0.41626682832474377	0.13178144093947092	0.1449194182812717	0.05134354168714872	0.4320724217643683	0.17976783157301307	0.21293174460124922	0.1752280020613694	0.5156029414044007	1.0	-29326.02297997418	141.32037300206443
345000	-29210.646713325314	122.61270571593607	-29333.25941904125	1.4504985407809383	4.22322060740802	0.5142961264287663	0.11652380949467085	0.39655819516869645	0.13128051494943582	0.13299868018604435	0.029951226894490944	0.4320724217643683	0.19286587650545445	0.21132380935493406	0.1637378923752432	0.5085782089363422	1.0	-29333.25941904125	139.86616188937526
360000	-29197.945290162665	114.56686013542424	-29312.512150298087	1.3273295634403421	5.421603148506552	0.32327982336182165	0.11662629681962274	0.4112717124027527	0.14140297092972476	0.14390113670617127	0.04468281566107988	0.4176862133887383	0.19399407789104844	0.21334197728291407	0.1749777314372991	0.49874007957384303	1.0	-29312.512150298087	132.3658357849958
375000	-29198.735814931315	120.98198667760056	-29319.717801608916	1.203355586044322	4.353173528349514	0.60190804817969	0.11371214293995804	0.4021496933270063	0.1475255019443592	0.13310451781175503	0.04407347243387312	0.4230103966690306	0.19502645319214454	0.21652226639177757	0.16544088374704727	0.533799494780028	1.0	-29319.717801608916	138.75758901962536
390000	-29183.33920768053	122.77942779976723	-29306.118635480296	1.1896380075893704	4.65607336339905	0.5420775482966596	0.11800837633905564	0.4241452913882464	0.14793373214062028	0.14848393647309915	0.04405961232090388	0.4393409161056447	0.1808424345693727	0.2153040528307292	0.16451259649425337	0.5079775156438802	1.0	-29306.118635480296	140.69851460076592
405000	-29193.68644732951	123.58958259463888	-29317.27602992415	1.327571204670775	3.795335243116656	0.5452971510395769	0.11524767081770411	0.4383649021811365	0.1436621956230192	0.13486083203464933	0.05273121040435147	0.4119925942926187	0.20061927861358472	0.21919852006561916	0.16818960702817742	0.4921757633887662	1.0	-29317.27602992415	141.53684107510662
420000	-29202.787567470656	114.98704201585281	-29317.774609486507	1.333166756426859	4.3654464590360655	0.43461523882064534	0.1274378654168074	0.41454069063516163	0.13314385710596155	0.1412696565166507	0.047075781897710875	0.4270535136452377	0.18515038643315376	0.2231552478665484	0.16464085205506013	0.4784682336941315	1.0	-29317.774609486507	132.8124650439044
435000	-29169.866785365277	122.1973530578836	-29292.06413842316	1.3158818794613483	3.0783368750942097	0.6879616857695295	0.0988218563507902	0.3742643856915237	0.1256780099713186	0.12207715472526726	0.04682054292461415	0.4329417374590853	0.18459673250992906	0.21448411962119868	0.16797741040978692	0.49550651495888	1.0	-29292.06413842316	139.51189016131107
450000	-29181.888769245605	124.08954761534139	-29305.978316860947	1.2978271352819948	4.958359524918269	0.4683419899414332	0.11923476038062292	0.4415969755616547	0.17106815260233738	0.15969439330814175	0.048319273507509135	0.42928812132347116	0.19026300851162747	0.21448411962119868	0.16596475054370266	0.5180231952508941	1.0	-29305.978316860947	142.37656000383487
465000	-29202.48311759708	121.02851258872626	-29323.511630185807	1.5916467440008346	2.7410716356750546	0.7627410338257229	0.10950358387746399	0.3961030670218058	0.14855429494621392	0.12432900852676365	0.04989578575150081	0.41421107980362337	0.19540957722466532	0.23032005900750308	0.16005928396420824	0.5106379762676267	1.0	-29323.511630185807	138.76633993354605
