# BEAST v1.8.2, r6687
# Generated Mon Oct 24 10:49:51 PDT 2016 [seed=1477331390776]
state	posterior	prior	likelihood	treeModel.rootHeight	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-939343.4590685759	-779673.3275287172	-159670.13153985864	219.02789368433383	630.0	0.5	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-159670.13153985864	-779645.6030507954
15000	-98965.93011229055	121.15610566019544	-99087.08621795074	0.6185204513647341	4.68220392766539	0.04854790218294635	0.5956004684873953	1.2217119034428303	0.6456552428510861	0.48765664788719004	0.25076951379516516	0.26886603495736	0.24070423356577814	0.24844728431710073	0.24198244715976114	0.5783819955628265	1.0	-99087.08621795074	146.13245421965897
30000	-79042.79782712286	177.07991516900145	-79219.87774229186	1.1303859530984064	6.238469606091942	0.02972847108091836	0.34773103078870893	0.9840779623466802	0.42491577211962456	0.2650933630791544	0.15274953980912442	0.2954986451475297	0.24522699959132105	0.2345422817521428	0.2247320735090064	0.6130317134024392	1.0	-79219.87774229186	199.87058349316965
45000	-69980.59316245292	185.77720426608488	-70166.370366719	0.7937490287974891	5.78973928736945	0.1433106330511764	0.27434740843627226	0.845917168578562	0.26910805913964825	0.25492280755231794	0.13252770930494176	0.3399907078391738	0.21895887278306977	0.19866326724538533	0.2423871521323711	0.6351688690954753	1.0	-70166.370366719	207.60436690031992
60000	-65757.45750950155	202.50526014252006	-65959.96276964407	1.4345137275326325	5.6163254269575384	0.4631786120051308	0.27033767023354693	0.845917168578562	0.24334422847808335	0.21518598152249585	0.1382777058212488	0.3608868799872007	0.21434353354711305	0.19302338877374958	0.23174619769193666	0.5753247333785486	1.0	-65959.96276964407	223.9761305050557
75000	-63909.07218605403	200.59269161403398	-64109.66487766806	1.5618571223150775	4.560975762567353	0.3609143284243803	0.21255435306518222	0.7446788962627602	0.20555934125170364	0.20607402075102296	0.12047431778700468	0.37230920697228265	0.21656831767839801	0.18979167427142668	0.22133080107789266	0.5629553018317636	1.0	-64109.66487766806	221.3396224648723
90000	-62755.90881232029	218.65828862067758	-62974.56710094096	1.8709868574740849	5.100203812400083	0.4856505656237598	0.23626899871321766	0.6815733637882095	0.191070753243771	0.1936556496763454	0.10735287818111942	0.38028034573843467	0.19958324080911252	0.19210922654055754	0.22802718691189527	0.5806470841393384	1.0	-62974.56710094096	239.21414713986957
105000	-61944.497165727	228.6502493512678	-62173.14741507827	1.890902810916441	2.7875379364737136	0.7743067594824515	0.20784407248812992	0.6167628163895402	0.18548966229891498	0.20891026596431836	0.11698903407440836	0.3986556228717864	0.1928361493913637	0.1985281369093445	0.2099800908275053	0.5804969398647629	1.0	-62173.14741507827	249.11048902882166
120000	-61484.846618266776	236.82967496964153	-61721.676293236414	1.8187928508063949	5.583997009787706	0.4521936876875594	0.20472751951873416	0.5926327071995956	0.16879918111020495	0.19502490836984238	0.11408612470859705	0.4081427713502449	0.18820770961855585	0.19720045474143996	0.20644906428975915	0.5804969398647629	1.0	-61721.676293236414	257.05399774225305
135000	-61332.10239773498	250.21610518690798	-61582.318502921895	1.7183292241702728	4.994333754682941	0.5055152747511436	0.20554161452123598	0.5691659846407852	0.16008376608830208	0.19613815252192096	0.10977117215726147	0.4186921379626504	0.18011194656197943	0.19599825422434333	0.20519766125102668	0.5976156340757516	1.0	-61582.318502921895	270.35618687342185
150000	-61263.16824634429	239.63052611120742	-61502.7987724555	1.9528235257329125	5.6361092477678545	0.5376170223562746	0.19413536776653387	0.5517339359263783	0.17714892924434625	0.21292120775279239	0.10298814514051331	0.42126520737210876	0.17983555876323554	0.2029303162733773	0.19596891759127827	0.5658447854190377	1.0	-61502.7987724555	259.73760313808407
165000	-61245.38203174545	246.35741435461404	-61491.739446100066	1.7457177892095366	2.8222708034950794	0.7811126818128927	0.19366721639586085	0.5244090317688596	0.17513642310800925	0.17714385143072428	0.09717122289974525	0.41948811078003556	0.18309315899317002	0.2057549315325568	0.19166379869423741	0.5950453779348186	1.0	-61491.739446100066	266.2257222597769
180000	-61249.67821902383	241.0778705120327	-61490.75608953586	1.7702428830804038	3.867949067573594	0.723813670287859	0.18023728524713892	0.5244090317688596	0.1644330234431481	0.18617875892055494	0.0905939497853275	0.41978041535193855	0.17789141088489324	0.20845501387200782	0.1938731598911601	0.578065795285065	1.0	-61490.75608953586	260.76254424672624
195000	-61194.69393750539	238.0589039019463	-61432.75284140734	1.8867549235749779	3.9986607836526753	0.6210722537996058	0.18500869505921388	0.5239395357719441	0.16791764952800006	0.17831967816021083	0.10836342756610264	0.4171826593749788	0.17928757996969738	0.2078832455916126	0.1956465150637109	0.5819990833349943	1.0	-61432.75284140734	257.9263055932957
210000	-61188.45949325405	230.32343283063852	-61418.782926084685	2.4654809771052	2.209260663553629	0.8165263802825193	0.18061389763179775	0.48973048131507807	0.16018031176654476	0.1783863479778346	0.09832869225877618	0.4225609290583447	0.17873356561525108	0.21090570102102382	0.18779980430538004	0.5791954582717908	1.0	-61418.782926084685	249.9575468018327
225000	-61054.5801624022	238.25002115667456	-61292.83018355887	1.8187777677499002	3.6323355551454015	0.7431093867457402	0.18705319300155895	0.4991353092301468	0.1604776567303689	0.17170199543786968	0.0988592596171056	0.4233568372335034	0.17737997548545503	0.21067275007648345	0.1885904372045577	0.5810589937294589	1.0	-61292.83018355887	257.91033391903864
