,Human,Gorilla,Tantalus_Monkey,Colobus_Monkey,Baboon,Sooty_Mangabey,Mona_Monkey,Red-tailed_Guenon,DeBrazzas_Monkey,Sykes_Monkey,LHoests_Monkey,Red-capped_Mangabey,Chimp_pts,Grivet,Vervet,Talapoin_Monkey,Sun-tailed_Monkey,Mandrill,Chimp_ptt,Western_red_colobus,Greater_Spot-nosed_Monkey,Mustached_Monkey,Sabaeus_Monkey,Red-eared_Guenon
Human,,0.0274157377395,0.00763724840105,0.0153166509606,0.0182857142197,0.0105132573326,0.0518462071063,0.00678106300842,0.00598190336463,0.00742026910808,0.00688224602057,0.0668376239563,0.0761409148586,0.00875905457433,0.00689254937247,0.00740425951114,0.00744354525654,0.0256828337978,0.016955940246,0.0950437989975,0.00982096831213,0.016228925004,0.013420461004,0.0239750227244
Gorilla,5.86946446444,,0.01980099503,0.0344769372002,0.0248103072692,0.0152167655618,0.0758480272688,0.0209104405128,0.0202492355372,0.0205900903958,0.0146950636158,0.0780715748372,0.114457246937,0.0163605529751,0.0221029558771,0.0196420314243,0.0146420039241,0.0538985883242,0.0258762052505,0.104175647434,0.0184238115296,0.0253096557904,0.0175141114496,0.0557962476171
Tantalus_Monkey,0.0107163808164,0.0382927543008,,0.0366782101173,0.0154793530203,0.0112048948365,0.0397946887526,0.0101351642441,0.0254788081987,0.0131189298755,0.0110261838251,0.0536179899076,0.0720128657676,2.98440867017,3.35913040774,0.0128993298193,0.0135246309329,0.0637941505857,0.0167132184765,0.0872291033482,0.0141563064461,0.012316699181,2.07964665012,0.0379213656618
Colobus_Monkey,0.00657561654776,0.0666536424712,0.00946734570359,,0.035150382806,0.00988908277167,0.0335837352458,0.0156287455772,0.013549209459,0.0208633930341,0.010518984599,0.315639650647,0.0207139322021,0.0132676634091,0.0110651288057,0.0115909012742,0.01110406407,0.0364131263365,0.0277628589212,0.09668264579,0.0121704724897,0.0170016556138,0.0216877635302,0.0466869979169
Baboon,0.0830973896061,0.161605624727,0.123351778548,0.861209810736,,0.0947148599323,0.546929925111,0.0954793217392,0.0918857230304,0.133790075005,0.0767745911803,1.13907601724,0.153906349279,0.120297547777,0.08574338694,0.0872454436423,0.0814607585618,0.338559978323,0.117184721847,0.316761322602,0.0917127924541,0.104516894234,0.299470793098,0.186883409472
Sooty_Mangabey,8.91806852284,0.0218442599671,0.008979645799,0.0163380332479,0.0151613326877,,0.0206130474524,0.00992130124443,0.0106955091428,0.0120576531349,0.0075350679534,0.0312866290878,0.0205032619995,0.0124103755501,0.0130453012067,0.0116998773448,0.0103485480059,0.0300965571279,0.0115911958219,0.0915359001885,0.0110005638062,0.0135223772811,0.0114474631119,0.031063767957
Mona_Monkey,0.00206091880077,0.020226049414,0.00437049094448,0.0229204385485,0.00510503762227,0.004068087164,,1.06292803962,1.50101369726,1.41579803771,0.00200248604293,0.0368897316589,0.460996860787,0.00310230355251,0.00207196651587,1.4684670751,0.00185597151295,0.013058951554,0.0387571601671,0.0407085362576,0.038948866196,1.88240257284,0.00529361819265,0.106070946091
Red-tailed_Guenon,0.0272493481531,0.117567638662,0.0343084700011,0.111324008023,0.0518227618777,0.029551331904,0.20933847867,,0.054848556173,0.105693607781,0.026144161542,0.174658275085,0.105391628781,0.0386491436646,0.0282500877316,0.529905543118,0.0255007731464,0.0817975346213,0.0713934360193,0.144050948294,0.0783316036988,0.175076202238,0.0344012510948,0.283980568805
DeBrazzas_Monkey,0.0143528494761,0.077308778091,0.0275674237803,0.0419842619665,0.0359063526858,0.0169614793652,0.11508397918,0.0313723120966,,0.0263116466785,0.0150587791129,0.0562777746196,0.0427241928346,0.0226902177758,0.0190981525165,0.0426315890908,0.017884636678,0.0609116630942,0.0450870170212,0.133017518895,0.0238986303478,0.0238657205799,0.0250748026452,0.0557811081583
Sykes_Monkey,0.0156067997433,0.0794542778208,0.0216930206548,0.0619126743365,0.0280572807268,0.0136149472779,0.0532488657718,0.042575819745,0.026947834772,,0.0154287155241,0.0721768336601,0.0456935818626,0.0184629780912,0.0222634214516,0.0382108487636,0.0179849326011,0.0321290517148,0.0386290515859,0.0711240747077,0.0271656143392,0.0258979734046,0.0242213920504,0.0774474698072
LHoests_Monkey,0.0206225460822,0.0615117225451,0.020916053467,0.0413204719469,0.0352703298114,0.0207085800773,0.0369897148567,0.0224799409685,0.0254967318223,0.0316371304733,,0.0616490943331,0.0456564954701,0.0264096475353,0.0224504380478,0.0189445046356,2.04323552657,0.0554180017363,0.0343942150253,0.112020774221,0.0205263392584,0.0225817021409,0.0300556491911,0.0677308688319
Red-capped_Mangabey,0.00189400135243,0.0130364955077,1.09811656743,0.617916262387,0.0125041081459,1.06804895326,1.49331292877,0.00627664012124,0.0121154462874,0.0292502482637,0.00451833989345,,0.811188709914,0.00464505483775,0.00360802734354,0.00402719865364,0.00402191928617,2.01016078956,0.0215344777336,0.0731944937071,0.00334725794603,0.00524427554381,0.413411981287,0.0174280344612
Chimp_pts,0.0041345680168,0.0418535397563,0.00683748478741,0.0106446813461,0.0122125656948,0.0041816674299,0.0591351407193,0.00881605858181,0.0062445605613,0.00872331122772,0.00523234031646,0.0276159943385,,0.00921302572331,0.00659728472976,0.00666485051439,0.00562810776435,0.0376072025596,1.71038755252,0.193795682014,0.00741346470708,0.101649149533,0.0066727180775,0.0193145805112
Grivet,0.0470701052031,0.0952678106014,0.0980685565476,0.243392363237,0.0889136947359,0.0563643013076,0.14770184332,0.0573008665552,0.0701232902358,0.0690776209599,0.0521246372913,0.261389765067,0.14853418486,,0.242093060207,0.0531045168528,0.0485119100846,0.168368386134,0.069015911515,0.283029420093,0.0523515620768,0.0579692312554,0.247738311223,0.0952455841234
Vervet,0.0173265954096,0.0896135846633,0.104926153599,0.042916924164,1.64191256706,0.0231811631462,0.0742127568967,0.0280684482427,0.0274656326637,0.0235875077041,0.0171835300566,0.0638654099367,0.0719323583528,0.130329045591,,0.0222154193609,0.0228436976958,0.0660526607334,0.0367581431365,0.0815597787269,0.0294499980028,0.0373370020778,0.0331905255868,0.0822681930114
Talapoin_Monkey,0.0201047693162,0.0774402192517,0.0369843328751,0.078086977575,0.0431531658411,0.0216066423489,0.108277261988,0.731137716884,0.0662077535121,0.104008846306,0.0231202948442,0.118281596598,0.0651456503998,0.0282758101928,0.0341807030245,,0.0266635700485,0.0461905462553,0.0491054336294,0.0972712099783,0.0431108910912,0.0712661501845,0.0324374954355,0.124343238249
Sun-tailed_Monkey,0.0265585319811,0.090438227428,0.0296626203368,0.0655683818521,0.0390917834416,0.0285815274479,0.0602715114973,0.0318594895292,0.0310293158919,0.0436074835311,1.71932021947,0.0936809961568,0.059884385271,0.0320759877741,0.0354191869006,0.0220220770518,,0.0800846772004,0.0425114440203,0.15964464834,0.0372529135461,0.0329251752595,0.0372706500152,0.0833409430204
Mandrill,0.00220865684433,0.0202694175257,0.00689377166644,0.0948190627135,0.00879656382052,0.00481855097333,0.0184631851846,0.00589633016046,0.00718918395996,0.014426087698,1.03825744938,0.0286331454246,0.0296533351064,0.00470338533522,0.00424435279614,0.00422388582963,0.731263306833,,0.00727636385684,1.47070537156,0.0039926702175,0.00752650828827,0.00939787863926,0.0275971407191
Chimp_ptt,3.64977428925,1.91250568185,0.00584470510064,0.00831756692548,0.0105889379384,0.00550336509499,0.0355017407065,0.00534569987188,0.00595724136649,0.00377908546469,0.00542508247561,0.0314556103156,0.101643936583,0.00709984704771,0.00566856134146,0.00594079884272,0.00502453255668,0.0288036845545,,0.0845682168421,0.00692848706936,0.017712424612,0.00667035173934,0.0169130419633
Western_red_colobus,0.0116726477752,0.0878917759876,0.0243299794668,0.218151739413,0.0473922713597,0.0150468115803,0.111643029369,0.0259339627646,0.0320115147765,0.0304894080426,0.0223620506981,0.284188264545,0.0848592950765,0.0231199363368,0.0193875544491,0.020132356776,0.0287502442628,0.0371848686732,0.0426607585718,,0.0225860333112,0.0355142203557,0.0352956631333,0.104123786192
Greater_Spot-nosed_Monkey,0.0363587817234,0.116519051169,0.043610470075,0.0976941708309,0.0587519854149,0.0410725235921,0.517575440284,0.127205642977,0.0451781996217,0.0492058162611,0.0346683661039,0.124825585376,0.0732122566792,0.0397039279716,0.042577218491,0.0571839928965,0.0423952400365,0.101518988866,0.0794483076997,0.159953507974,,0.0613868288752,0.0452552316734,0.197923311515
