# BEAST v1.8.2, r6687
# Generated Sun Oct 02 13:47:09 PDT 2016 [seed=1475441228633]
state	posterior	prior	likelihood	treeModel.rootHeight	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-805607.2855717824	-736963.7468245099	-68643.53874727245	227.78654905641753	630.0	0.5	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-68643.53874727245	-736936.0223465881
15000	-42591.95242146278	2.0059302113304973	-42593.95835167411	2.708509425690207	2.811283709955303	0.2557057883722958	0.7679897670381468	1.6764518238525787	0.8840575303122181	0.5762402045001283	0.4663008502977557	0.27687446481098055	0.24753362807952636	0.23638382861812163	0.2392080784913715	0.7608723158984412	1.0	-42593.95835167411	29.029981167244554
30000	-35950.00839143188	2.7874459645539993	-35952.795837396436	2.4752728009609593	3.260053159916344	0.1334111221648357	0.6124975678840587	1.6467072718302895	0.5447952419497344	0.555015810801989	0.2433306724066953	0.32825053979974034	0.25083974464117526	0.19476938970910157	0.22614032584998275	0.7205936166650941	1.0	-35952.795837396436	28.310183427667543
45000	-35195.384654379486	-9.020601492050274	-35186.36405288744	3.606047040123312	2.5824644190245145	0.25656407849279783	0.5739855291909393	1.5195728124028778	0.42310777395126503	0.49855456548040644	0.24484743970203454	0.3567822344216939	0.22901331419196677	0.18098704006936134	0.233217411316978	0.6977856060503174	1.0	-35186.36405288744	15.954464048636266
60000	-35142.06060638664	-17.479912601593107	-35124.58069378505	4.155511477192906	1.3281706311061197	0.7215049774744241	0.4861252994343112	1.1981936390182575	0.4052879545069307	0.48724671613070997	0.20528707168620366	0.3770694488360955	0.2102781366201521	0.18739308459493675	0.2252593299488156	0.7053591222056225	1.0	-35124.58069378505	6.864924217663074
75000	-35135.30726856156	-14.319462113650077	-35120.98780644791	3.4641728126982705	1.7504450384729289	0.4285118657444077	0.5074482084219403	1.033566515073985	0.3190069291041171	0.5947133797353377	0.18790065108747075	0.3798077531570068	0.20467046703083433	0.1854217515193937	0.23010002829276502	0.7011254098046955	1.0	-35120.98780644791	9.78941689681089
90000	-35118.36233801439	-12.605552430716738	-35105.756785583675	3.1634891604082815	2.38399204127103	0.359154926801963	0.5264561282612111	1.1503844058906791	0.34003899774596613	0.485850316256166	0.1929388501149594	0.38872761754075935	0.19250816510240318	0.17663198071190198	0.2421322366449354	0.6927061285246803	1.0	-35105.756785583675	11.516333769038187
105000	-35125.12983918296	-15.630742043418028	-35109.499097139545	4.263057411564533	2.1954642512807543	0.4619304557381471	0.4855136095936923	1.0312679141409993	0.33347965724118694	0.5411702108606432	0.1700031245239958	0.38687179961209667	0.19701306404680874	0.1840258068164808	0.23208932952461372	0.7130885996033961	1.0	-35109.499097139545	8.307395512704968
120000	-35109.25523448202	-10.42755621331954	-35098.8276782687	2.9143214225220917	2.9845397126371074	0.007227175353167108	0.5003068902565109	1.040100426492473	0.3044286448892055	0.5409170342511985	0.1781562665695532	0.38539902071377735	0.19421034502130124	0.179138506170079	0.24125212809484234	0.6905609514742241	1.0	-35098.8276782687	13.459416988463161
135000	-35114.31317809243	-9.49793771966656	-35104.815240372765	3.4462310873870887	2.558289901943364	0.4047609954331258	0.5123413076912477	1.015099979333782	0.3170331280042948	0.5271617981288852	0.17469778520797563	0.3932703070672488	0.19057199439702555	0.18260531171049657	0.23355238682522905	0.7067955805198074	1.0	-35104.815240372765	14.415911691210951
