,Human,Gorilla,Tantalus_Monkey,Colobus_Monkey,Baboon,Sooty_Mangabey,Mona_Monkey,Red-tailed_Guenon,DeBrazzas_Monkey,Sykes_Monkey,LHoests_Monkey,Red-capped_Mangabey,Chimp_pts,Grivet,Vervet,Talapoin_Monkey,Sun-tailed_Monkey,Mandrill,Chimp_ptt,Western_red_colobus,Greater_Spot-nosed_Monkey,Mustached_Monkey,Sabaeus_Monkey,Red-eared_Guenon
Human,,0.00188644085534,0.000214130132843,0.000244190592897,0.000240015822733,0.00173650302061,0.000220521443247,0.000259968250087,0.000283294741491,0.000404622578515,0.000316190538732,0.000399994996793,0.000422603413779,0.000211311316544,0.000257244484205,0.000185347043481,0.000248618712781,0.000198473163685,0.00074087582334,0.000200758858952,0.000302772899721,0.000183285937861,0.000229411880566,0.000288114914197
Gorilla,3.18164797904,,0.00231391658045,0.00163778570802,0.00210276284822,0.00287611891088,0.00175581480197,0.00232515083142,0.00185554958252,0.00195373194948,0.00273700963117,0.00154979668993,0.00181289262533,0.00160700671641,0.00172340217864,0.0021889448985,0.00205654736115,0.00204563288144,0.00326982843174,0.00310756559632,0.00196385887346,0.00202038938169,0.00154344127046,0.00181002334722
Tantalus_Monkey,0.00289589640148,0.0022429973119,,0.00870987875136,0.0163529125103,0.00350051370687,0.00325308328845,0.00301963516562,0.00505558612669,0.00436003889821,0.00839343459445,0.00439011734814,0.00348384005438,1.45905729505,1.65584219295,0.00318781659959,0.00515526717338,0.00376566006186,0.00306718917327,0.00378838875751,0.00308913755925,0.0024725822201,0.232155108264,0.00345343935948
Colobus_Monkey,0.00130938074204,0.00129639504723,0.00182172895749,,0.0328350215832,0.00209283257543,0.00178928122123,0.00177945670503,0.0022511162365,0.0046190374359,0.00605766705102,0.00168093772427,0.00146724119147,0.0018108577096,0.00289085433475,0.00134118479826,0.00972565304812,0.0039064616476,0.00118136264303,0.0167942328732,0.00136624357371,0.00148304483179,0.00179134501487,0.0013071799731
Baboon,0.0214331032209,0.0160301228574,0.0531232288519,0.818542206491,,0.0258427801815,0.575250706733,0.20007332827,0.184371326301,0.081969662427,0.129815585072,0.279577141782,0.039736959451,0.108187382924,0.0229981674105,0.101969116533,0.365467462564,1.25137226292,0.0177801730318,0.423085034217,0.0245156585738,0.0986480677914,0.15881635602,0.0171607226196
Sooty_Mangabey,4.301001528,0.000770110487561,0.0005586944808,0.00105250088472,0.000675084296134,,0.000686999105763,0.000682512875405,0.000912156107898,0.000765362491843,0.00083198476525,0.00092503935688,0.000674208953987,0.000640097301148,0.000450841282398,0.000646991804804,0.0011384775178,0.000739187210027,0.000636050379966,0.00079765811204,0.000761517691548,0.000591970826378,0.000596736452464,0.000576046588392
Mona_Monkey,0.000464373575829,0.000993603776533,0.002049461638,0.00191037200241,0.00174813717014,0.000773410355406,,0.588765755086,0.592882341597,0.453980851467,0.00108951466135,0.00200701557853,0.207009048311,0.000728051467201,0.000918688912132,0.473668860339,0.0011374538493,0.00274476111037,0.0181523866831,0.0014734103062,0.0606954910774,0.803329549172,0.00131177207417,0.0500279666094
Red-tailed_Guenon,0.00410485547047,0.00409288618846,0.00555734509899,0.00752477474186,0.00935651795481,0.00447077233435,0.534225974534,,0.0991102571027,0.207561299707,0.00530978997787,0.00377609888854,0.0697556310151,0.0042892449227,0.00456871653555,0.583037630225,0.00570602408536,0.00582676524754,0.0105291476088,0.00580164983144,0.181797221637,0.567576600311,0.00380090048036,0.157738385011
DeBrazzas_Monkey,0.00268393869844,0.00236473500725,0.00816318426367,0.00542306880624,0.00399216648967,0.00374054175633,0.211213282503,0.0277178096691,,0.0655703251888,0.00352823264925,0.00237224524149,0.02571438766,0.00315250571725,0.00349244288591,0.0457571657398,0.0031609475347,0.00330633642939,0.00447353968504,0.0029847757136,0.0036236593013,0.00476505635158,0.00538457148074,0.00383560154397
Sykes_Monkey,0.00332333796287,0.00490291104779,0.00662520959568,0.0102937041415,0.00878614840203,0.00410819173416,0.0316801608379,0.0124179819533,0.0162406087972,,0.00564784254362,0.00485934644676,0.00838773922457,0.00493070999409,0.00936637072299,0.0197868804813,0.00702286576896,0.00536864492248,0.00672636238456,0.00697716029243,0.00428797113325,0.00558009311979,0.00566474627637,0.00522250717431
LHoests_Monkey,0.00255649574382,0.00222946769348,0.00405037295075,0.139183622136,0.00854567341276,0.00396710020667,0.0715406912467,0.00278521299451,0.00300283441106,0.00813044355163,,0.00284800015259,0.00449474357885,0.00363897742669,0.0030182010869,0.00301576108938,1.40639514128,0.146744592385,0.00354601938703,0.0543263254726,0.00263475750157,0.00346823699134,0.0035327303513,0.00286419534017
Red-capped_Mangabey,0.00300804607385,0.00262193749682,0.0121749922627,0.00545766959899,0.00358678353828,0.0907422968482,0.00744268990202,0.00255981372791,0.00751514531231,0.00492084107108,0.00407789779721,,0.0524291046491,0.00787061292723,0.00289696409108,0.00391769426848,0.00324998318396,0.117275420308,0.00346536444521,0.00784782315519,0.00246351185534,0.00279153254729,0.0933650171754,0.00181996380229
Chimp_pts,0.000372785361807,0.0012936096029,0.000484485833118,0.000517578048038,0.000378231330687,0.000424216815026,0.00100105572335,0.00118919809712,0.000537218100144,0.000433395302942,0.000389780688957,0.000365576572781,,0.000380165515952,0.000443715801472,0.000267755064875,0.000323954367587,0.0003699615086,0.730723801492,0.000576201514043,0.000553951290623,0.00518507315896,0.000369905100297,0.000398076215756
Grivet,0.0118848897362,0.0116443312471,0.274255458065,0.102396473922,0.174177964825,0.0136467408855,0.067829704654,0.00976763000527,0.0174267142465,0.0186675178733,0.0187248985808,0.0165846703976,0.0129574110437,,0.41584002202,0.013776691905,0.0227151184018,0.0404588080779,0.0101565300432,0.0341628179745,0.01108498002,0.0117772324713,0.360537424438,0.0117354014482
Vervet,0.00191204486908,0.00245967319056,0.121963414367,0.0232250870288,1.10463243863,0.0020309767439,0.00191206692358,0.00145638535866,0.00184225141242,0.00297472876348,0.00203501206862,0.00199052007712,0.00253444145444,0.117434546285,,0.00135239031481,0.00209895332274,0.00233528986196,0.00156214509093,0.00547138951359,0.00184298206638,0.00160115212954,0.063303756368,0.00179564772989
Talapoin_Monkey,0.00373315294548,0.00496689694857,0.0106222915545,0.0114440912289,0.0115577037682,0.00622627011476,0.0514188100138,0.473427716901,0.0568753503653,0.0745372249148,0.00689315499276,0.00447135107534,0.0327186886028,0.00654102417586,0.00645517000849,,0.00634208360548,0.00543177064279,0.00935040813376,0.0107757561573,0.00811640778706,0.0400302673975,0.00706363748153,0.0123524108644
Sun-tailed_Monkey,0.00269021143774,0.00299790123286,0.0111750702884,0.232566186881,0.0302343152852,0.00388508753625,0.403698895514,0.00361210106643,0.0264912360832,0.0110839751091,1.25427643316,0.00377352180926,0.00697395116403,0.00536495986988,0.00501690774639,0.00327677218431,,0.909544385028,0.00474124915152,0.339196780798,0.00276882639029,0.0397473406409,0.00715693586193,0.0028395694454
Mandrill,0.000188773579204,0.000243319938791,0.0757670236265,0.00321946084593,0.00122697271119,0.508377859331,0.0138789235771,0.00613074079721,0.00195316268503,0.00129346015217,0.171778910698,0.519331649603,0.310346317975,0.115610683749,0.0552443856869,0.00112140180727,0.171304544081,,0.0174286677326,0.160178990061,0.000240785892349,0.000681446561531,0.451956733575,0.000188385470709
Chimp_ptt,1.65573474959,0.901867873611,0.000349305230966,0.000415534653089,0.000304591509987,0.000393100787905,0.000282196444517,0.000255649059068,0.000253155937131,0.000322251549563,0.000322833620617,0.00039052179031,0.0347349304312,0.00034870466392,0.000407632502136,0.000251163810561,0.000433657700307,0.000287252592705,,0.000236070460715,0.0002203284087,0.000354059132482,0.000271999055354,0.000249695278248
Western_red_colobus,0.00318260454462,0.00220785470555,0.00564294147078,0.0763807829193,0.0670852103024,0.00453800671983,0.0308364482301,0.0235877620802,0.00494615684216,0.00929176544418,0.0102070997961,0.00527581247905,0.00473651936346,0.004365502245,0.0041359390675,0.00383178044436,0.0188784283079,0.0863685090669,0.003325651766,,0.00321489102526,0.00284113031397,0.00480843325439,0.00315661440042
Greater_Spot-nosed_Monkey,0.0106658655913,0.011063457777,0.0105851088208,0.0167983666028,0.0321293880392,0.0108714674896,0.378393367892,0.114681223382,0.0128801298761,0.0417494230319,0.0164933187596,0.0114547335543,0.0142708748109,0.00885645885725,0.0156566635634,0.0215908070588,0.0155755059383,0.0113032649354,0.0130457948083,0.0143072979609,,0.028834530731,0.0124628394209,0.0958848863741
